buy,115621.86,115509.42,0.0427410890427653,2025-08-18T05:00:00,2025-08-18T12:00:00,-4.80580805196863,filled,113309.4228,120246.7344
sell,115509.42,114917.27,0.04276189170999351,2025-08-18T12:00:00,2025-08-18T13:00:00,25.321454176072407,filled,117819.6084,110889.0432
buy,114917.27,116649.0,0.043092409318566255,2025-08-18T13:00:00,2025-08-18T21:00:00,74.62441798924057,filled,112618.9246,119513.96080000002
sell,116649.0,114841.18,0.04277254194726757,2025-08-18T21:00:00,2025-08-19T03:00:00,77.32505678310955,filled,118981.98,111983.04
buy,114841.18,115300.0,0.043782524474220576,2025-08-19T03:00:00,2025-08-19T04:00:00,20.08829787926219,filled,112544.35639999999,119434.8272
sell,115300.0,115322.69,0.04369541130041631,2025-08-19T04:00:00,2025-08-19T09:00:00,-0.9914488824065479,filled,117606.0,110688.0
buy,115322.69,113906.0,0.04368251554396447,2025-08-19T09:00:00,2025-08-19T14:00:00,-61.884582945979126,filled,113016.2362,119935.59760000001
sell,113906.0,113763.44,0.0439541631435026,2025-08-19T14:00:00,2025-08-19T15:00:00,6.2661054977376285,filled,116184.12,109349.76
buy,113763.44,113419.1,0.044036783344215645,2025-08-19T15:00:00,2025-08-19T21:00:00,-15.163625976747062,filled,111488.1712,118313.97760000001
sell,113419.1,112878.49,0.044103631106086214,2025-08-19T21:00:00,2025-08-19T23:00:00,23.842864012261295,filled,115687.482,108882.336
buy,112878.49,113207.04,0.04442047000088709,2025-08-19T23:00:00,2025-08-20T00:00:00,14.594345418790937,filled,110620.92020000001,117393.62960000001
sell,113207.04,112980.01,0.04435601135317935,2025-08-20T00:00:00,2025-08-20T01:00:00,10.070145257512255,filled,115471.1808,108678.75839999999
buy,112980.01,114595.19,0.0444897094993051,2025-08-20T01:00:00,2025-08-20T22:00:00,71.85888898908794,filled,110720.4098,117499.2104
sell,114595.19,113095.3,0.044176175881580446,2025-08-20T22:00:00,2025-08-21T12:00:00,66.25940444302367,filled,116887.0938,110011.3824
buy,113095.3,112774.77,0.0450549843436875,2025-08-21T12:00:00,2025-08-21T15:00:00,-14.441474131682103,filled,110833.394,117619.11200000001
sell,112774.77,112511.2,0.04511901229130239,2025-08-21T15:00:00,2025-08-21T22:00:00,11.892018069618887,filled,115030.2654,108263.7792
buy,112511.2,113153.95,0.04527755674824915,2025-08-21T22:00:00,2025-08-22T02:00:00,29.10214959993714,filled,110260.976,117011.648
sell,113153.95,115865.24,0.04514896137177339,2025-08-22T02:00:00,2025-08-22T14:00:00,-122.41192747767585,filled,115417.029,108627.79199999999
buy,116160.97,116453.59,0.04345329893401148,2025-08-22T16:00:00,2025-08-23T01:00:00,12.715304334070238,filled,113837.7506,120807.4088
sell,116453.59,115568.95,0.04339870506389519,2025-08-23T01:00:00,2025-08-23T03:00:00,38.392230447724216,filled,118782.6618,111795.44639999999
buy,115568.95,115325.82,0.043897007987574836,2025-08-23T03:00:00,2025-08-23T20:00:00,-10.672679552018636,filled,113257.571,120191.708
sell,115325.82,115028.0,0.043943279843920706,2025-08-23T20:00:00,2025-08-23T21:00:00,13.08718760311677,filled,117632.33640000001,110712.7872
buy,115028.0,114521.45,0.044113940738700015,2025-08-23T21:00:00,2025-08-24T14:00:00,-22.345916681188623,filled,112727.44,119629.12000000001
sell,114521.45,114404.65,0.0442115028839627,2025-08-24T14:00:00,2025-08-24T15:00:00,5.163903536846973,filled,116811.879,109940.59199999999
buy,114404.65,114275.1,0.0442792086573318,2025-08-24T15:00:00,2025-08-24T16:00:00,-5.736371481556819,filled,112116.55699999999,118980.836
sell,114275.1,114426.66,0.04430430761362918,2025-08-24T16:00:00,2025-08-24T17:00:00,-6.714760861921536,filled,116560.60200000001,109704.096
buy,114426.66,113465.28,0.04421628493348731,2025-08-24T17:00:00,2025-08-24T22:00:00,-42.50865200935623,filled,112138.1268,119003.72640000001
sell,113465.28,112618.52,0.04440360501946144,2025-08-24T22:00:00,2025-08-25T00:00:00,37.599196586278936,filled,115734.5856,108926.6688
buy,112618.52,112764.01,0.04490440004748541,2025-08-25T00:00:00,2025-08-25T04:00:00,6.533141162908234,filled,110366.1496,117123.2608
sell,112764.01,111424.79,0.044875431845827325,2025-08-25T04:00:00,2025-08-25T08:00:00,60.098075836568924,filled,115019.2902,108253.44959999999
buy,111424.79,111800.01,0.045684471860664724,2025-08-25T08:00:00,2025-08-25T09:00:00,17.141727531558672,filled,109196.29419999999,115881.7816
sell,111800.01,110984.04,0.04560780940092273,2025-08-25T09:00:00,2025-08-25T10:00:00,37.214604236870976,filled,114036.01019999999,107328.00959999999
buy,110984.04,110679.68,0.04611078177744918,2025-08-25T10:00:00,2025-08-25T19:00:00,-14.034277541784459,filled,108764.35919999999,115423.4016
sell,110679.68,109650.0,0.046174182202630136,2025-08-25T19:00:00,2025-08-25T20:00:00,47.544631930403874,filled,112893.2736,106252.49279999999
buy,109650.0,110153.23,0.04682458756419518,2025-08-25T20:00:00,2025-08-25T22:00:00,23.563537199929748,filled,107457.0,114036.0
sell,110153.23,109137.47,0.046717629569409495,2025-08-25T22:00:00,2025-08-26T00:00:00,47.453899411423144,filled,112356.2946,105747.10079999999
buy,109137.47,112370.05,0.04736984231648101,2025-08-26T00:00:00,2025-08-27T17:00:00,153.12680487541027,filled,106954.7206,113502.9688
sell,112370.05,111338.93,0.04668849170359345,2025-08-27T17:00:00,2025-08-28T00:00:00,48.141437565409746,filled,114617.451,107875.24799999999
buy,111338.93,113128.5,0.047337071282615044,2025-08-28T00:00:00,2025-08-28T08:00:00,84.71300265522973,filled,109112.15139999999,115792.4872
sell,113128.5,112850.41,0.04696266075540382,2025-08-28T08:00:00,2025-08-28T09:00:00,13.059846329470084,filled,115391.07,108603.36
buy,112850.41,113239.43,0.047136251347535525,2025-08-28T09:00:00,2025-08-28T12:00:00,18.336944499217775,filled,110593.4018,117364.42640000001
sell,113239.43,112025.07,0.04705528597840917,2025-08-28T12:00:00,2025-08-28T21:00:00,57.1420570807403,filled,115504.2186,108709.8528
buy,112025.07,112566.91,0.04782041012089898,2025-08-28T21:00:00,2025-08-28T23:00:00,25.911011019907736,filled,109784.5686,116506.07280000001
sell,112566.91,111440.01,0.04770531852328868,2025-08-28T23:00:00,2025-08-29T02:00:00,53.75912344389443,filled,114818.2482,108064.23359999999
buy,111440.01,111279.45,0.04842892475022496,2025-08-29T02:00:00,2025-08-29T06:00:00,-7.775748157896007,filled,109211.2098,115897.6104
sell,111279.45,110038.45,0.0484638626842186,2025-08-29T06:00:00,2025-08-29T07:00:00,60.14365359111528,filled,113505.039,106828.272
buy,110038.45,110008.01,0.04928371683871345,2025-08-29T07:00:00,2025-08-29T10:00:00,-1.5001963405705523,filled,107837.681,114439.988
