,TIME_UNIX,DATE_STR,HOUR_STR,OPEN_PRICE,HIGH_PRICE,CLOSE_PRICE,LOW_PRICE,VOLUME_FROM,VOLUME_TO,Dominance,fag
112,1757001600,9/4/2025,16,109520.12,109699.72,109442.46,109373.85,1123.41,123033592.17,57.6229080651707,44
113,1757005200,9/4/2025,17,109442.46,109927.62,109801.6,109431.87,901.19,98907042.57,57.6229080651707,44
114,1757008800,9/4/2025,18,109801.6,110223.61,110000.23,109721.57,918.18,101031536.24,57.6229080651707,44
115,1757012400,9/4/2025,19,110000.23,110132.76,109818.28,109740.76,1443.81,158735600.59,57.6229080651707,44
116,1757016000,9/4/2025,20,109818.28,110432.57,110415.26,109771.69,839.16,92497784.19,57.6229080651707,44
117,1757019600,9/4/2025,21,110415.26,110566.59,110511.63,110343.69,316.51,34962553.91,57.6229080651707,44
118,1757023200,9/4/2025,22,110511.63,111590.28,111494.91,110494.88,752.29,83422103.15,57.6229080651707,44
119,1757026800,9/4/2025,23,111494.91,111748.82,111746.71,111451.1,58.21,6496033.1,57.6229080651707,44
120,1757030400,9/5/2025,0,110732.33,110943.53,110474.07,110453.67,751.31,83165107.95,58.0300716530877,41
121,1757034000,9/5/2025,1,110474.07,111153.87,111128.52,110472.14,657.19,72828713.98,58.0300716530877,41
122,1757037600,9/5/2025,2,111128.52,111495.99,111352.43,111057.45,902.68,100470024.64,58.0300716530877,41
123,1757041200,9/5/2025,3,111352.43,111352.52,111331.68,111110.88,323.29,35962115.16,58.0300716530877,41
124,1757044800,9/5/2025,4,111331.68,111482.59,111459.02,111162.05,214.08,23833528.73,58.0300716530877,41
125,1757048400,9/5/2025,5,111459.02,111732.15,111592.12,111429.83,298.95,33360203.58,58.0300716530877,41
126,1757052000,9/5/2025,6,111592.12,111918.97,111910.93,111529.57,267.91,29917191.26,58.0300716530877,41
127,1757055600,9/5/2025,7,111910.93,113009.39,112973.38,111900.31,1495.32,168346224.15,58.0300716530877,41
128,1757059200,9/5/2025,8,112973.38,112999.81,112638.92,112622.27,486.01,54824349.21,58.0300716530877,41
129,1757062800,9/5/2025,9,112638.92,112642.3,112310.22,112141.73,866.49,97321849.91,58.0300716530877,41
130,1757066400,9/5/2025,10,112310.22,112581.06,112262.52,112207.41,533.44,59930213.31,58.0300716530877,41
131,1757070000,9/5/2025,11,112262.52,112445.15,112362.53,112155.34,365.63,41060637.61,58.0300716530877,41
132,1757073600,9/5/2025,12,112362.53,113400.39,113233.13,112102.1,3486.03,393119287.49,58.0300716530877,41
133,1757077200,9/5/2025,13,113233.13,113332.94,113099.15,112730.91,2518.03,284662056.54,58.0300716530877,41
134,1757080800,9/5/2025,14,113099.15,113099.55,110576.66,110500.13,4975.24,554035018.73,58.0300716530877,41
135,1757084400,9/5/2025,15,110576.66,111033.19,110724.94,110280.98,1900.48,210336500.99,58.0300716530877,41
136,1757088000,9/5/2025,16,110724.94,110939.8,110819.7,110536.15,1129.26,125040434.12,58.0300716530877,41
137,1757091600,9/5/2025,17,110819.7,110821.28,110613.18,110217.27,1025.38,113369453.83,58.0300716530877,41
138,1757095200,9/5/2025,18,110613.18,111319.52,111220.66,110583.95,1006.91,111781755.82,58.0300716530877,41
139,1757098800,9/5/2025,19,111220.66,111646.5,111629.32,111143.93,1809.45,201509701.97,58.0300716530877,41
